R8,FDN,LOAD AND CG DATA,,,,
SN,Bld,FD,VC,Xvc,Yvc,Pvc
1,A,A_FG01,A_C17,135.45,16.472,-139.8558
2,A,A_FG01,A_C25,135.45,19.472,-32.64954
3,A,A_FG01,A_CW01,135.6,6.122,-14.13067
4,A,A_FG01,A_CW02,135.4,17.836,-20.39296
5,A,A_FG02,A_C18,139.5,16.472,-323.4991
6,A,A_FG02,A_C26,139.5,19.472,-85.21033
7,A,A_FG02,A_CW03,139.5,20.872,-26.05182
8,A,A_FG03,A_C19,145.1,16.472,-353.229
9,A,A_FG03,A_C27,145.1,19.472,-108.4376
10,A,A_FG03,A_CW04,145.1,20.872,-29.37533
11,A,A_FG04,A_C20,150.7,16.472,-292.3807
12,A,A_FG04,A_C28,150.7,19.472,-80.78182
13,A,A_FG04,A_CW05,150.7,20.872,-26.40093
14,A,A_FG05,A_C21,154.65,16.472,-311.6385
15,A,A_FG05,A_C29,154.65,19.472,-100.088
16,A,A_FG05,A_CW06,154.65,20.872,-26.61322
17,A,A_FG06,A_C22,160.25,16.472,-349.955
18,A,A_FG06,A_C30,160.25,19.472,-85.01213
19,A,A_FG06,A_CW07,160.25,20.872,-31.23364
20,A,A_FG07,A_CW1P1,175.975,4.322,-260.7094
21,A,A_FG07,A_CW1P2,175.975,4.322,-453.0218
22,A,A_FG07,A_CW1P3,175.975,4.322,-240.0805
23,A,A_FG07,A_CW1P4,175.975,4.322,-464.596
24,A,A_FG08,A_C31,166.425,27.447,-98.0556
25,A,A_FG08,A_C40,169.425,27.447,-399.048
26,A,A_FG08,A_CW08,165.025,27.447,-28.62997
27,A,A_FG09,A_C32,166.425,33.047,-74.60989
28,A,A_FG09,A_C39,169.425,33.047,-279.0273
29,A,A_FG09,A_CW09,165.025,33.047,-23.36391
30,A,A_FG10,A_C33,166.425,35.847,-86.39518
31,A,A_FG10,A_C38,169.425,35.847,-302.5279
32,A,A_FG10,A_CW10,165.025,35.847,-22.40888
33,A,A_FG11,A_C34,166.425,41.447,-108.1925
34,A,A_FG11,A_C37,169.425,41.447,-331.5681
35,A,A_FG11,A_CW11,165.025,41.447,-20.44978
36,A,A_FG12,A_C35,166.425,45.497,-63.9412
37,A,A_FG12,A_C36,169.425,45.497,-148.3149
38,A,A_FG12,A_CW12,165.025,45.518,-10.85601
39,A,A_FG12,A_CW13,169.675,46.647,-31.84345
40,A,A_FG13,A_C44,177.275,46.597,-194.4695
41,A,A_FG13,A_C45,180.275,46.597,-103.5145
42,A,A_FG14,A_C49,185.825,46.597,-83.0138
43,A,A_FG17,A_C50,185.825,39.9,-172.9316
44,A,A_FG18,A_C43,177.275,39.997,-411.9183
45,A,A_FG18,A_C46,180.275,39.997,-145.3987
46,A,A_FG18,A_CW14,180.275,39.944,-44.59599
47,A,A_FG19,A_C42,177.275,34.397,-371.1356
48,A,A_FG19,A_C47,180.275,34.397,-112.6513
49,A,A_FG19,A_CW15,181.575,34.397,-61.87962
50,A,A_FG20,A_C41,177.275,28.797,-427.6119
51,A,A_FG20,A_C48,180.275,28.797,-131.6504
52,A,A_FG20,A_CW16,181.575,28.797,-60.62785
53,A,A_FG21,A_C51,185.825,25.2,-137.8723
54,A,A_FG22,A_SW2P1,135.55,4.322,-515.6352
55,A,A_FG22,A_SW2P2,135.55,4.322,-378.6335
56,A,A_FG23,A_C52,185.825,19.4,-104.326
57,A,A_FG24,A_C23,177.275,16.472,-413.247
58,A,A_FG24,A_C24,180.275,16.472,-128.8053
59,A,A_FG24,A_CW17,182.175,16.247,-49.13628
60,A,A_FG25,A_C53,185.825,12.5,-98.91027
61,A,A_FG26,A_C54,185.825,5,-41.14959
62,A,A_FG27,A_C08,182.125,6.122,-78.03268
63,A,A_FG27,A_C09,182.125,9.122,-207.291
64,A,A_FG27,A_CW18,182.175,4.322,-25.61933
65,A,A_FG28,A_C07,175.975,6.122,-119.2213
66,A,A_FG28,A_C10,175.975,9.122,-307.5424
67,A,A_FG28,A_CW19,175.975,4.322,-27.86742
68,A,A_FG29,A_C06,172.9,6.122,-81.45125
69,A,A_FG29,A_C11,172.9,9.122,-314.151
70,A,A_FG29,A_CW20,172.9,4.322,-25.69266
71,A,A_FG30,A_C05,167.3,6.122,-91.20446
72,A,A_FG30,A_C12,167.3,9.122,-353.2618
73,A,A_FG30,A_CW21,167.3,4.322,-28.18674
74,A,A_FG31,A_C04,161.7,6.122,-113.5672
75,A,A_FG31,A_C13,161.7,9.122,-350.424
76,A,A_FG31,A_CW22,161.7,4.322,-28.51572
77,A,A_FG32,A_C03,156.1,6.122,-93.48453
78,A,A_FG32,A_C14,156.1,9.122,-345.6283
79,A,A_FG32,A_CW23,156.1,4.322,-26.43171
80,A,A_FG33,A_SW1P1,135.55,4.322,-296.9271
81,A,A_FG33,A_SW1P2,135.55,4.322,-307.144
82,A,A_FG33,A_SW1P3,135.55,4.322,-527.3389
83,A,A_FG34,A_C02,141.5,6.122,-122.1057
84,A,A_FG34,A_C15,141.5,9.122,-390.0746
85,A,A_FG35,A_C01,135.6,6.122,-44.6854
86,A,A_FG35,A_C16,135.6,9.122,-198.8845
87,B,B_FG01,B_C17,82.34,15.922,-125.0506
88,B,B_FG01,B_C24,85.338,15.922,-419.1678
89,B,B_FG02,B_SW1P1,86.448,4.022,-441.135
90,B,B_FG02,B_SW1P2,86.448,4.022,-353.2121
91,B,B_FG03,B_C18,82.4,28.422,-105.9897
92,B,B_FG03,B_C23,85.4,34.022,-406.9077
93,B,B_FG03,B_CW03,81.05,28.422,-30.73612
94,B,B_FG04,B_C19,82.4,34.022,-97.70477
95,B,B_FG04,B_C22,85.4,34.022,-322.8807
96,B,B_FG04,B_CW04,81.05,34.022,-23.12648
97,B,B_FG05,B_C20,82.4,37.922,-41.65714
98,B,B_FG05,B_C21,85.4,37.922,-115.0126
99,B,B_FG05,B_CW04A,81.05,37.922,-14.22141
100,B,B_FG05,B_CW04B,85.675,39.172,-37.80935
101,B,B_FG06,B_C34,93.25,39.122,-135.6337
102,B,B_FG06,B_C35,96.25,39.122,-43.62084
103,B,B_FG06,B_CW04C,97.6,39.172,-16.08498
104,B,B_FG07,B_C33,93.25,35.222,-325.2222
105,B,B_FG07,B_C36,96.25,35.222,-93.60761
106,B,B_FG07,B_CW05,97.6,35.222,-24.77155
107,B,B_FG08,B_C32,93.25,29.622,-406.3152
108,B,B_FG08,B_C37,96.25,29.622,-104.4682
109,B,B_FG08,B_CW06,97.6,29.622,-30.64347
110,B,B_FG09,B_C31,93.25,24.022,-326.6438
111,B,B_FG09,B_C38,96.25,24.022,-80.15322
112,B,B_FG09,B_CW07,97.6,24.022,-29.88039
113,B,B_FG10,B_CW1P1,92.048,4.022,-239.3564
114,B,B_FG10,B_CW1P2,92.048,4.022,-486.0729
115,B,B_FG10,B_CW1P3,92.048,4.022,-302.1655
116,B,B_FG10,B_CW1P4,92.048,4.022,-354.4753
117,B,B_FG11,B_C25,103.05,16.172,-368.0835
118,B,B_FG11,B_C39,103.05,19.172,-129.9543
119,B,B_FG11,B_CW08,103.05,20.572,-38.36007
120,B,B_FG12,B_C26,108.65,16.172,-369.4225
121,B,B_FG12,B_C40,108.65,19.172,-102.8539
122,B,B_FG12,B_CW09,108.65,20.572,-34.08982
123,B,B_FG13,B_C27,114.25,16.172,-337.6963
124,B,B_FG13,B_C41,114.25,19.172,-124.3468
125,B,B_FG13,B_CW10,114.25,20.572,-33.95679
126,B,B_FG14,B_C28,119.85,16.172,-352.355
127,B,B_FG14,B_C42,119.85,19.172,-100.9571
128,B,B_FG14,B_CW11,119.85,20.572,-33.30891
129,B,B_FG15,B_C29,125.45,16.172,-314.4644
130,B,B_FG15,B_C43,125.45,19.172,-101.2732
131,B,B_FG15,B_CW12,125.45,20.572,-28.60868
132,B,B_FG16,B_C30,129.35,16.172,-141.0101
133,B,B_FG16,B_C44,129.35,19.172,-30.53338
134,B,B_FG16,B_CW12A,129.4,20.572,-19.40993
135,B,B_FG16,B_CW13,129.4,17.513,-12.94006
136,B,B_FG17,B_C08,129.35,5.822,-37.01345
137,B,B_FG17,B_C09,129.35,5.822,-192.8855
138,B,B_FG17,B_CW14,129.4,7.062,-24.86179
139,B,B_FG17,B_CW14A,129.4,4.022,-16.48084
140,B,B_FG18,B_C07,123.45,5.822,-110.1512
141,B,B_FG18,B_C10,123.45,8.822,-372.3892
142,B,B_FG18,B_CW15,123.45,4.022,-27.49755
143,B,B_FG19,B_SW2P1,86.448,4.022,-295.2908
144,B,B_FG19,B_SW2P2,86.448,4.022,-343.8276
145,B,B_FG19,B_SW2P3,86.448,4.022,-46.62452
146,B,B_FG20,B_C06,108.848,5.822,-119.4287
147,B,B_FG20,B_C11,108.85,8.822,-367.0713
148,B,B_FG20,B_CW16,108.848,4.022,-26.60784
149,B,B_FG21,B_C05,103.248,5.822,-46.02959
150,B,B_FG21,B_C12,103.25,8.822,-405.3061
151,B,B_FG21,B_CW17,103.248,4.022,-26.61598
152,B,B_FG22,B_C04,97.648,5.822,-119.7993
153,B,B_FG22,B_C13,97.65,8.822,-330.2096
154,B,B_FG22,B_CW18,97.648,4.022,-29.43162
155,B,B_FG23,B_C03,92.048,5.822,-104.6955
156,B,B_FG23,B_C14,92.05,8.822,-371.3404
157,B,B_FG23,B_CW19,92.048,4.022,-30.52872
158,B,B_FG24,B_C02,86.448,5.822,-111.6338
159,B,B_FG24,B_C15,86.45,8.822,-419.8912
160,B,B_FG24,B_CW20,86.448,4.022,-30.363
161,B,B_FG25,B_C01,80.548,5.822,-38.56313
162,B,B_FG25,B_C16,80.55,8.822,-188.428
163,B,B_FG25,B_CW01,80.5,7.093,-19.82767
164,B,B_FG25,B_CW01A,80.5,7.093,-20.24636
165,C,C_FG01,C_C01,5,19.172,-51.19875
166,C,C_FG01,C_C28,5,16.172,-152.0737
167,C,C_FG01,C_CW01A,9.25,20.572,-20.56046
168,C,C_FG02,C_C02,9.25,19.172,-79.96833
169,C,C_FG02,C_C27,9.25,16.172,-316.3265
170,C,C_FG02,C_CW01,9.25,20.572,-24.91665
171,C,C_FG03,C_C03,14.85,19.172,-106.5852
172,C,C_FG03,C_C26,14.85,16.172,-360.1959
173,C,C_FG03,C_CW02,14.85,20.572,-30.0359
174,C,C_FG04,C_C04,20.45,19.172,-95.18912
175,C,C_FG04,C_C25,20.45,16.172,-333.4376
176,C,C_FG04,C_CW03,20.45,20.572,-31.64165
177,C,C_FG05,C_C05,26.05,19.172,-114.7143
178,C,C_FG05,C_C24,26.05,16.172,-355.3299
179,C,C_FG05,C_CW04,26.05,20.572,-32.51065
180,C,C_FG06,C_C06,31.65,19.172,-96.57698
181,C,C_FG06,C_C23,31.65,16.172,-349.4173
182,C,C_FG06,C_CW05,31.65,20.572,-31.977
183,C,C_FG07,C_C07,37.25,19.172,-113.1669
184,C,C_FG07,C_C22,37.25,16.172,-356.5901
185,C,C_FG07,C_CW06,37.25,20.572,-32.03779
186,C,C_FG08,C_C08,42.85,19.172,-91.2812
187,C,C_FG08,C_C21,42.85,16.172,-348.1103
188,C,C_FG08,C_CW07,42.85,20.572,-31.48848
189,C,C_FG09,C_C09,48.45,19.172,-113.5513
190,C,C_FG09,C_C20,48.45,16.172,-358.4336
191,C,C_FG09,C_CW08,48.45,20.572,-32.27199
192,C,C_FG10,C_C10,54.05,19.172,-96.12144
193,C,C_FG10,C_C19,54.05,16.172,-343.0473
194,C,C_FG10,C_CW09,54.05,20.572,-32.65367
195,C,C_FG11,C_C11,59.65,19.172,-102.8012
196,C,C_FG11,C_C18,59.65,16.172,-360.0931
197,C,C_FG11,C_CW10,59.65,20.572,-32.09513
198,C,C_FG12,C_C12,65.25,19.172,-98.86768
199,C,C_FG12,C_C17,65.25,16.172,-389.1573
200,C,C_FG12,C_CW11,65.25,20.572,-30.49476
201,C,C_FG13,C_C13,70.85,19.172,-85.07804
202,C,C_FG13,C_C16,70.85,16.172,-320.9193
203,C,C_FG13,C_CW12,70.85,20.572,-27.66975
204,C,C_FG14,C_C14,74.9,19.172,-34.86434
205,C,C_FG14,C_C15,74.9,16.172,-144.8772
206,C,C_FG14,C_CW12A,74.9,20.572,
207,C,C_FG14,C_CW21,68.55,4.022,-12.31967
208,C,C_FG15,C_C38,74.75,8.822,-200.7393
209,C,C_FG15,C_C39,74.75,5.822,-37.90182
210,C,C_FG15,C_CW22A,74.8,4.022,-12.51762
211,C,C_FG16,C_C37,68.85,8.822,-399.8995
212,C,C_FG16,C_C40,68.85,5.822,-109.681
213,C,C_FG16,C_CW20,68.55,4.022,-26.04243
214,C,C_FG17,C_CW1P1,53.725,3.342,-296.613
215,C,C_FG17,C_CW1P2,53.725,3.342,-305.6425
216,C,C_FG17,C_CW1P3,53.725,3.342,-18.68406
217,C,C_FG17,C_CW1P4,53.725,3.342,-251.4866
218,C,C_FG17,C_CW1P5,53.725,3.342,-455.3737
219,C,C_FG17,C_CW1P5,53.725,3.342,-455.3737
220,C,C_FG17A,C_CW20A,68.55,4.022,
221,C,C_FG18,C_C36,53.85,8.822,-273.2114
222,C,C_FG18,C_C41,53.85,5.822,-83.6957
223,C,C_FG18,C_CW19,53.725,4.022,-15.86624
224,C,C_FG18,C_CW19A,53.725,3.342,-9.542996
225,C,C_FG19,C_C35,48.25,8.822,-368.5711
226,C,C_FG19,C_C42,48.25,5.822,-104.7074
227,C,C_FG19,C_CW18,48.25,4.022,-26.82953
228,C,C_FG20,C_C34,42.65,8.822,-357.3001
229,C,C_FG20,C_C43,42.65,5.822,-91.84753
230,C,C_FG20,C_CW17,42.65,4.022,-28.43574
231,C,C_FG21,C_C33,37.05,8.822,-364.1645
232,C,C_FG21,C_C44,37.05,5.822,-101.1521
233,C,C_FG21,C_CW16,37.05,4.022,-28.80408
234,C,C_FG22,C_C32,31.45,8.822,-358.3553
235,C,C_FG22,C_C45,31.45,5.822,-91.91196
236,C,C_FG22,C_CW15,31.45,4.022,-28.12422
237,C,C_FG23,C_C31,25.85,8.822,-358.61
238,C,C_FG23,C_C46,25.85,5.822,-101.1693
239,C,C_FG23,C_CW14,25.85,4.022,-24.57926
240,C,C_FG24,C_SW1P1,74.8,7.072,-301.3222
241,C,C_FG24,C_SW1P2,74.8,7.072,-430.0537
242,C,C_FG24,C_SW1P3,74.8,7.072,-349.3273
243,C,C_FG25,C_C30,11.25,8.822,-386.0262
244,C,C_FG25,C_C47,11.25,5.822,-108.5018
245,C,C_FG25,C_CW13,74.9,20.572,-24.57687
246,C,C_FG26,C_C29,5.35,8.822,-186.0631
247,C,C_FG26,C_C48,5.35,5.822,-58.02509
248,C,C_FG26,C_CW13A,5.35,4.022,-15.73704
